Date,Temp,Day
12/29/2014,4.623,363
12/29/2014,4.311,363
12/29/2014,3.998,363
12/29/2014,3.683,363
12/29/2014,3.261,363
12/29/2014,2.517,363
12/29/2014,3.683,363
12/29/2014,4.727,363
12/29/2014,5.86,363
12/29/2014,6.268,363
12/29/2014,7.582,363
12/29/2014,8.182,363
12/29/2014,6.064,363
12/29/2014,6.166,363
12/29/2014,3.049,363
12/29/2014,2.303,363
12/29/2014,1.98,363
12/29/2014,3.049,363
12/29/2014,3.893,363
12/29/2014,3.367,363
12/29/2014,2.837,363
12/29/2014,2.73,363
12/30/2014,2.195,364
12/30/2014,0.893,364
12/30/2014,0.674,364
12/30/2014,0.121,364
12/30/2014,0.01,364
12/30/2014,-0.774,364
12/30/2014,-1.001,364
12/30/2014,-1.341,364
12/30/2014,-1.114,364
12/30/2014,-0.887,364
12/30/2014,-0.437,364
12/30/2014,-0.102,364
12/30/2014,1.003,364
12/30/2014,-0.437,364
12/30/2014,-0.437,364
12/30/2014,-1.001,364
12/30/2014,-1.684,364
12/30/2014,-4.031,364
12/30/2014,-3.553,364
12/30/2014,-3.911,364
12/30/2014,-3.553,364
12/30/2014,-3.553,364
12/30/2014,-3.434,364
12/30/2014,-4.152,364
12/31/2014,-4.393,365
12/31/2014,-4.636,365
12/31/2014,-4.636,365
12/31/2014,-5.125,365
12/31/2014,-5.62,365
12/31/2014,-5.496,365
12/31/2014,-5.372,365
12/31/2014,-5.125,365
12/31/2014,-3.079,365
12/31/2014,-0.549,365
12/31/2014,2.195,365
12/31/2014,3.155,365
12/31/2014,1.33,365
12/31/2014,1.656,365
12/31/2014,1.98,365
12/31/2014,0.893,365
12/31/2014,-1.914,365
12/31/2014,-5.62,365
12/31/2014,-5.62,365
12/31/2014,-5.87,365
12/31/2014,-5.62,365
12/31/2014,-5.995,365
12/31/2014,-2.61,365
12/31/2014,-2.727,365
1/1/2015,-2.145,1
1/1/2015,-2.03,1
1/1/2015,-2.377,1
1/1/2015,-1.456,1
1/1/2015,-1.57,1
1/1/2015,-1.684,1
1/1/2015,-1.684,1
1/1/2015,-1.799,1
1/1/2015,-2.261,1
1/1/2015,1.33,1
1/1/2015,3.472,1
1/1/2015,4.311,1
1/1/2015,3.155,1
1/1/2015,4.727,1
1/1/2015,3.998,1
1/1/2015,2.73,1
1/1/2015,1.98,1
1/1/2015,2.303,1
1/1/2015,3.367,1
1/1/2015,4.207,1
1/1/2015,4.519,1
1/1/2015,5.037,1
1/1/2015,5.037,1
1/1/2015,4.831,1
1/2/2015,5.037,2
1/2/2015,4.102,2
1/2/2015,4.519,2
1/2/2015,4.102,2
1/2/2015,3.049,2
1/2/2015,1.872,2
1/2/2015,1.548,2
1/2/2015,1.439,2
1/2/2015,2.41,2
1/2/2015,6.37,2
1/2/2015,8.481,2
1/2/2015,9.176,2
1/2/2015,9.866,2
1/2/2015,10.161,2
1/2/2015,9.472,2
1/2/2015,9.669,2
1/2/2015,3.893,2
1/2/2015,1.872,2
1/2/2015,0.01,2
1/2/2015,1.221,2
1/2/2015,1.764,2
1/2/2015,1.33,2
1/2/2015,1.112,2
1/2/2015,1.221,2
1/3/2015,0.893,3
1/3/2015,0.453,3
1/3/2015,0.232,3
1/3/2015,0.01,3
1/3/2015,-0.549,3
1/3/2015,-1.114,3
1/3/2015,-0.887,3
1/3/2015,-1.114,3
1/3/2015,0.343,3
1/3/2015,0.893,3
1/3/2015,5.757,3
1/3/2015,5.347,3
1/3/2015,5.037,3
1/3/2015,2.73,3
1/3/2015,2.943,3
1/3/2015,2.73,3
1/3/2015,1.656,3
1/3/2015,0.563,3
1/3/2015,0.121,3
1/3/2015,1.003,3
1/3/2015,2.41,3
1/3/2015,3.578,3
1/3/2015,5.037,3
1/3/2015,6.166,3
1/4/2015,7.481,4
1/4/2015,8.082,4
1/4/2015,8.978,4
1/4/2015,9.472,4
1/4/2015,11.041,4
1/4/2015,11.916,4
1/4/2015,11.528,4
1/4/2015,11.916,4
1/4/2015,11.625,4
1/4/2015,11.236,4
1/4/2015,10.944,4
1/4/2015,11.819,4
1/4/2015,11.431,4
1/4/2015,11.041,4
1/4/2015,11.528,4
1/4/2015,11.236,4
1/4/2015,12.013,4
1/4/2015,11.916,4
1/4/2015,11.819,4
1/4/2015,11.334,4
1/4/2015,11.819,4
1/4/2015,11.528,4
1/4/2015,12.594,4
1/4/2015,11.139,4
1/5/2015,9.077,5
1/5/2015,8.978,5
1/5/2015,8.68,5
1/5/2015,7.481,5
1/5/2015,5.962,5
1/5/2015,4.415,5
1/5/2015,3.683,5
1/5/2015,2.624,5
